datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt
2022.09.04,14:15:00,14:30:00,Arnulf,34,0,34
2022.09.04,14:30:00,14:45:00,Arnulf,20,0,20
2022.09.04,14:45:00,15:00:00,Arnulf,45,3,48
2022.09.04,15:00:00,15:15:00,Arnulf,26,1,27
2022.09.04,15:15:00,15:30:00,Arnulf,25,2,27
2022.09.04,15:30:00,15:45:00,Arnulf,18,2,20
2022.09.04,15:45:00,16:00:00,Arnulf,28,0,28
2022.09.04,16:00:00,16:15:00,Arnulf,33,1,34
2022.09.04,16:15:00,16:30:00,Arnulf,18,0,18
2022.09.04,16:30:00,16:45:00,Arnulf,17,1,18
2022.09.04,16:45:00,17:00:00,Arnulf,20,0,20
2022.09.04,17:00:00,17:15:00,Arnulf,27,0,27
2022.09.04,17:15:00,17:30:00,Arnulf,23,0,23
2022.09.04,17:30:00,17:45:00,Arnulf,27,3,30
2022.09.04,17:45:00,18:00:00,Arnulf,18,1,19
2022.09.04,18:00:00,18:15:00,Arnulf,15,1,16
2022.09.04,18:15:00,18:30:00,Arnulf,30,1,31
2022.09.04,18:30:00,18:45:00,Arnulf,26,1,27
2022.09.04,18:45:00,19:00:00,Arnulf,15,0,15
2022.09.04,19:00:00,19:15:00,Arnulf,17,1,18
2022.09.04,19:15:00,19:30:00,Arnulf,28,1,29
2022.09.04,19:30:00,19:45:00,Arnulf,20,1,21
2022.09.04,19:45:00,20:00:00,Arnulf,23,0,23
2022.09.04,20:00:00,20:15:00,Arnulf,15,0,15
2022.09.04,20:15:00,20:30:00,Arnulf,25,0,25
2022.09.04,20:30:00,20:45:00,Arnulf,17,2,19
2022.09.04,20:45:00,21:00:00,Arnulf,12,1,13
2022.09.04,21:00:00,21:15:00,Arnulf,11,0,11
2022.09.04,21:15:00,21:30:00,Arnulf,13,0,13
2022.09.04,21:30:00,21:45:00,Arnulf,10,0,10
2022.09.04,21:45:00,22:00:00,Arnulf,14,2,16
2022.09.04,22:00:00,22:15:00,Arnulf,8,1,9
2022.09.04,22:15:00,22:30:00,Arnulf,7,2,9
2022.09.04,22:30:00,22:45:00,Arnulf,5,0,5
2022.09.04,22:45:00,23:00:00,Arnulf,6,1,7
2022.09.04,23:00:00,23:15:00,Arnulf,4,0,4
2022.09.04,23:15:00,23:30:00,Arnulf,2,0,2
2022.09.04,23:30:00,23:45:00,Arnulf,6,1,7
2022.09.04,23:45:00,00:00:00,Arnulf,2,0,2
2022.09.05,00:00:00,00:15:00,Arnulf,3,0,3
2022.09.05,00:15:00,00:30:00,Arnulf,0,1,1
2022.09.05,00:30:00,00:45:00,Arnulf,0,0,0
2022.09.05,00:45:00,01:00:00,Arnulf,2,5,7
2022.09.05,01:00:00,01:15:00,Arnulf,6,0,6
2022.09.05,01:15:00,01:30:00,Arnulf,1,0,1
2022.09.05,01:30:00,01:45:00,Arnulf,1,0,1
2022.09.05,01:45:00,02:00:00,Arnulf,0,0,0
2022.09.05,02:00:00,02:15:00,Arnulf,1,1,2
2022.09.05,02:15:00,02:30:00,Arnulf,0,0,0
2022.09.05,02:30:00,02:45:00,Arnulf,2,0,2
2022.09.05,02:45:00,03:00:00,Arnulf,0,0,0
2022.09.05,03:00:00,03:15:00,Arnulf,0,0,0
2022.09.05,03:15:00,03:30:00,Arnulf,1,0,1
2022.09.05,03:30:00,03:45:00,Arnulf,1,0,1
2022.09.05,03:45:00,04:00:00,Arnulf,0,0,0
2022.09.05,04:00:00,04:15:00,Arnulf,4,1,5
2022.09.05,04:15:00,04:30:00,Arnulf,0,1,1
2022.09.05,04:30:00,04:45:00,Arnulf,0,0,0
2022.09.05,04:45:00,05:00:00,Arnulf,3,0,3
2022.09.05,05:00:00,05:15:00,Arnulf,4,1,5
2022.09.05,05:15:00,05:30:00,Arnulf,1,1,2
2022.09.05,05:30:00,05:45:00,Arnulf,6,0,6
2022.09.05,05:45:00,06:00:00,Arnulf,3,0,3
2022.09.05,06:00:00,06:15:00,Arnulf,7,0,7
2022.09.05,06:15:00,06:30:00,Arnulf,4,1,5
2022.09.05,06:30:00,06:45:00,Arnulf,17,0,17
2022.09.05,06:45:00,07:00:00,Arnulf,17,0,17
2022.09.05,07:00:00,07:15:00,Arnulf,18,2,20
2022.09.05,07:15:00,07:30:00,Arnulf,28,1,29
2022.09.05,07:30:00,07:45:00,Arnulf,36,1,37
2022.09.05,07:45:00,08:00:00,Arnulf,56,1,57
2022.09.05,08:00:00,08:15:00,Arnulf,46,1,47
2022.09.05,08:15:00,08:30:00,Arnulf,59,2,61
2022.09.05,08:30:00,08:45:00,Arnulf,67,1,68
2022.09.05,08:45:00,09:00:00,Arnulf,59,1,60
2022.09.05,09:00:00,09:15:00,Arnulf,56,1,57
2022.09.05,09:15:00,09:30:00,Arnulf,29,0,29
2022.09.05,09:30:00,09:45:00,Arnulf,33,1,34
2022.09.05,09:45:00,10:00:00,Arnulf,19,2,21
2022.09.05,10:00:00,10:15:00,Arnulf,26,0,26
2022.09.05,10:15:00,10:30:00,Arnulf,19,0,19
2022.09.05,10:30:00,10:45:00,Arnulf,13,0,13
2022.09.05,10:45:00,11:00:00,Arnulf,13,0,13
2022.09.05,11:00:00,11:15:00,Arnulf,19,0,19
2022.09.05,11:15:00,11:30:00,Arnulf,16,0,16
2022.09.05,11:30:00,11:45:00,Arnulf,24,1,25
2022.09.05,11:45:00,12:00:00,Arnulf,35,1,36
2022.09.05,12:00:00,12:15:00,Arnulf,17,1,18
2022.09.05,12:15:00,12:30:00,Arnulf,20,1,21
2022.09.05,12:30:00,12:45:00,Arnulf,21,0,21
2022.09.05,12:45:00,13:00:00,Arnulf,22,1,23
2022.09.05,13:00:00,13:15:00,Arnulf,25,0,25
2022.09.05,13:15:00,13:30:00,Arnulf,20,1,21
2022.09.05,13:30:00,13:45:00,Arnulf,22,2,24
2022.09.05,13:45:00,14:00:00,Arnulf,19,0,19
2022.09.05,14:00:00,14:15:00,Arnulf,19,4,23
2022.09.05,14:15:00,14:30:00,Arnulf,24,0,24
2022.09.05,14:30:00,14:45:00,Arnulf,25,1,26
2022.09.05,14:45:00,15:00:00,Arnulf,27,2,29
2022.09.05,15:00:00,15:15:00,Arnulf,24,1,25
