Date, Open, High, Low, Close
07/16/21, 15682.75, 15699.93, 15476.99, 15540.31
07/15/21, 15737.36, 15737.36, 15592.01, 15629.66
07/14/21, 15733.19, 15810.68, 15717.83, 15788.98
07/13/21, 15769.51, 15806.57, 15747.57, 15789.64
07/12/21, 15675.42, 15806.90, 15631.84, 15790.51
07/09/21, 15497.93, 15687.93, 15479.44, 15687.93
07/08/21, 15584.72, 15591.65, 15304.41, 15420.64
07/07/21, 15606.94, 15700.95, 15604.58, 15692.71
07/06/21, 15615.07, 15647.88, 15466.66, 15511.38
07/05/21, 15628.42, 15673.88, 15535.29, 15661.97
07/02/21, 15644.84, 15705.53, 15616.43, 15650.09
07/01/21, 15624.28, 15708.78, 15488.49, 15603.81
06/30/21, 15700.06, 15709.34, 15461.20, 15531.04
06/29/21, 15565.83, 15752.93, 15555.49, 15690.59
06/28/21, 15570.80, 15668.08, 15542.17, 15554.18
06/25/21, 15584.90, 15612.66, 15533.40, 15607.97
06/24/21, 15528.55, 15606.89, 15476.67, 15589.23
06/23/21, 15674.33, 15675.90, 15456.39, 15456.39
06/22/21, 15587.57, 15652.75, 15518.31, 15636.33
06/21/21, 15391.50, 15606.57, 15309.44, 15603.24
06/18/21, 15720.52, 15736.93, 15426.76, 15448.04
06/17/21, 15655.32, 15752.34, 15649.22, 15727.67
06/16/21, 15756.83, 15759.66, 15674.61, 15710.57
06/15/21, 15744.77, 15792.35, 15714.94, 15729.52
06/14/21, 15739.89, 15802.67, 15673.64, 15673.64
06/11/21, 15583.29, 15703.84, 15548.35, 15693.27
06/10/21, 15610.08, 15637.94, 15513.36, 15571.22
06/09/21, 15642.74, 15669.14, 15505.15, 15581.14
06/08/21, 15674.41, 15727.23, 15638.32, 15640.60
06/07/21, 15661.58, 15732.06, 15614.18, 15677.15
06/04/21, 15651.69, 15705.89, 15607.92, 15692.90
06/03/21, 15591.54, 15657.15, 15477.32, 15632.67
06/02/21, 15570.77, 15631.02, 15554.02, 15602.71
06/01/21, 15513.13, 15685.40, 15512.36, 15567.36
05/31/21, 15496.48, 15499.64, 15414.38, 15421.13
05/28/21, 15443.14, 15548.72, 15435.74, 15519.98
05/27/21, 15419.20, 15490.06, 15350.67, 15406.73
05/26/21, 15520.44, 15541.86, 15407.48, 15450.72
05/25/21, 15548.29, 15568.60, 15465.09, 15465.09
05/21/21, 15411.03, 15467.19, 15364.43, 15437.51
05/20/21, 15207.32, 15370.26, 15102.35, 15370.26
05/19/21, 15238.82, 15266.53, 14961.27, 15113.56
05/18/21, 15514.72, 15538.01, 15344.10, 15386.58
05/17/21, 15432.34, 15482.23, 15353.66, 15396.62
05/14/21, 15301.74, 15417.24, 15214.68, 15416.64
05/13/21, 14967.80, 15235.89, 14816.35, 15199.68
05/12/21, 15144.04, 15226.36, 15058.11, 15150.22
05/11/21, 15253.32, 15255.89, 15006.73, 15119.75
05/10/21, 15417.53, 15419.43, 15347.96, 15400.41
05/07/21, 15348.32, 15406.41, 15290.20, 15399.65
05/06/21, 15170.77, 15281.40, 15092.77, 15196.74
05/05/21, 14969.63, 15170.78, 14963.77, 15170.78
05/04/21, 15259.50, 15260.75, 14845.27, 14856.48
05/03/21, 15191.79, 15268.56, 15111.30, 15236.47
04/30/21, 15204.39, 15244.26, 15135.91, 15135.91
04/29/21, 15326.23, 15329.72, 15085.02, 15154.20
04/28/21, 15320.40, 15355.28, 15266.61, 15292.18
04/27/21, 15282.84, 15293.89, 15186.76, 15249.27
04/26/21, 15297.93, 15325.89, 15237.02, 15296.34
04/23/21, 15267.76, 15309.09, 15149.35, 15279.62
04/22/21, 15252.04, 15328.33, 15230.20, 15320.52
04/21/21, 15179.91, 15210.69, 15071.78, 15195.97
04/20/21, 15361.15, 15393.13, 15109.54, 15129.51
04/19/21, 15496.87, 15501.84, 15368.14, 15368.39
04/16/21, 15277.85, 15473.83, 15274.22, 15459.75
04/15/21, 15238.63, 15271.69, 15227.63, 15255.33
04/14/21, 15253.59, 15255.92, 15191.51, 15209.15
04/13/21, 15244.62, 15281.65, 15184.95, 15234.36
04/12/21, 15238.85, 15275.33, 15212.24, 15215.00
04/09/21, 15198.14, 15243.56, 15157.21, 15234.16
04/08/21, 15236.44, 15247.78, 15144.11, 15202.68
04/07/21, 15221.23, 15242.73, 15160.28, 15176.36
04/06/21, 15289.97, 15311.86, 15209.90, 15212.68
04/01/21, 15053.77, 15110.92, 15032.52, 15107.17
03/31/21, 14982.12, 15026.49, 14973.59, 15008.34
03/30/21, 14897.66, 15029.70, 14890.28, 15008.61
03/29/21, 14809.80, 14845.42, 14756.04, 14817.72
03/26/21, 14714.59, 14776.32, 14693.94, 14748.94
03/25/21, 14550.40, 14621.36, 14422.65, 14621.36
03/24/21, 14543.58, 14619.04, 14523.12, 14610.39
03/23/21, 14582.07, 14707.37, 14516.22, 14662.02
03/22/21, 14551.17, 14677.12, 14539.27, 14657.21
03/19/21, 14697.26, 14747.56, 14563.21, 14621.00
03/18/21, 14673.72, 14804.01, 14669.95, 14775.52
03/17/21, 14565.29, 14601.63, 14539.70, 14596.61
03/16/21, 14519.72, 14601.79, 14511.30, 14557.58
03/15/21, 14504.49, 14572.24, 14409.35, 14461.42
03/12/21, 14492.45, 14527.42, 14450.72, 14502.39
03/11/21, 14553.54, 14595.02, 14515.07, 14569.39
03/10/21, 14439.45, 14560.97, 14408.52, 14540.25
03/09/21, 14345.51, 14475.65, 14309.35, 14437.94
03/08/21, 14024.57, 14402.92, 13977.13, 14380.91
03/05/21, 13958.54, 14068.03, 13868.20, 13920.69
03/04/21, 14015.44, 14095.81, 13959.27, 14056.34
03/03/21, 14130.86, 14197.49, 13979.73, 14080.03
03/02/21, 13962.07, 14101.79, 13961.62, 14039.80
03/01/21, 13962.43, 14022.02, 13873.83, 14012.82
02/26/21, 13685.80, 13881.26, 13673.07, 13786.29
02/25/21, 14045.02, 14051.01, 13879.17, 13879.33
02/24/21, 13855.85, 13998.30, 13855.85, 13976.00
02/23/21, 13984.98, 13989.24, 13664.71, 13864.81
02/22/21, 13858.56, 13975.08, 13802.55, 13950.04
02/19/21, 13941.40, 14026.18, 13892.72, 13993.23
02/18/21, 13926.84, 13961.05, 13853.77, 13886.93
02/17/21, 14028.10, 14036.95, 13894.06, 13909.27
02/16/21, 14105.13, 14130.74, 14049.98, 14064.60
02/15/21, 14109.07, 14131.21, 14074.25, 14109.48
02/12/21, 13976.13, 14050.96, 13916.73, 14049.89
02/11/21, 13958.39, 14053.06, 13916.63, 14040.91
02/10/21, 14063.12, 14063.12, 13830.12, 13932.97
02/09/21, 14055.60, 14061.61, 13962.14, 14011.80
02/08/21, 14156.84, 14169.49, 14056.55, 14059.91
02/05/21, 14061.69, 14114.44, 14013.13, 14056.72
02/04/21, 13971.94, 14069.89, 13955.70, 14060.29
02/03/21, 13986.72, 13988.15, 13866.39, 13933.63
02/02/21, 13724.12, 13844.94, 13693.93, 13835.16
02/01/21, 13559.94, 13648.05, 13518.45, 13622.02
01/29/21, 13474.20, 13593.03, 13403.74, 13432.87
01/28/21, 13500.64, 13698.54, 13310.95, 13665.93
01/27/21, 13827.47, 13851.84, 13475.03, 13620.46
01/26/21, 13687.39, 13925.73, 13670.23, 13870.99
01/25/21, 13943.96, 13946.85, 13599.78, 13643.95
01/22/21, 13858.05, 13897.73, 13744.26, 13873.97
01/21/21, 13997.78, 14026.35, 13878.84, 13906.67
01/20/21, 13848.77, 13952.20, 13835.99, 13921.37
01/19/21, 13935.93, 13940.05, 13804.46, 13815.06
01/18/21, 13701.98, 13850.40, 13701.74, 13848.35
01/15/21, 13904.30, 13958.16, 13672.67, 13787.73
01/14/21, 13973.77, 14030.22, 13942.88, 13988.70
01/13/21, 13899.06, 13978.43, 13868.83, 13939.71
01/12/21, 13985.89, 13999.57, 13871.44, 13925.06
01/11/21, 13986.42, 14007.65, 13806.69, 13936.66
01/08/21, 14106.60, 14131.52, 14007.71, 14049.53
01/07/21, 13946.53, 14007.47, 13902.24, 13968.24
01/06/21, 13687.08, 13919.23, 13617.11, 13891.97
01/05/21, 13680.69, 13768.13, 13566.47, 13651.22
01/04/21, 13890.22, 13907.13, 13647.79, 13726.74
12/30/20, 13750.99, 13797.09, 13717.47, 13718.78
12/29/20, 13873.35, 13903.11, 13747.08, 13761.38
12/28/20, 13779.05, 13818.65, 13740.21, 13790.29
12/23/20, 13456.63, 13601.71, 13456.63, 13587.23
12/22/20, 13311.02, 13441.59, 13310.42, 13418.11
12/21/20, 13398.22, 13399.99, 13060.34, 13246.30
12/18/20, 13649.66, 13774.45, 13624.25, 13630.51
12/17/20, 13691.49, 13725.84, 13649.53, 13667.25
12/16/20, 13416.29, 13596.74, 13412.41, 13565.98
12/15/20, 13216.49, 13374.96, 13210.15, 13362.87
12/14/20, 13224.26, 13292.30, 13190.53, 13223.16
12/11/20, 13255.24, 13265.61, 13009.48, 13114.30
12/10/20, 13341.68, 13370.44, 13213.06, 13295.73
12/09/20, 13344.14, 13454.13, 13327.87, 13340.26
12/08/20, 13248.02, 13297.49, 13199.45, 13278.49
12/07/20, 13255.78, 13289.43, 13163.26, 13271.00
12/04/20, 13230.61, 13315.37, 13225.08, 13298.96
12/03/20, 13304.83, 13307.54, 13223.93, 13252.86
12/02/20, 13341.91, 13359.27, 13272.47, 13313.24
12/01/20, 13371.66, 13434.30, 13334.99, 13382.30
11/30/20, 13270.51, 13445.11, 13256.76, 13291.16
11/27/20, 13280.51, 13364.17, 13272.74, 13335.68
11/26/20, 13315.21, 13316.19, 13274.89, 13286.57
11/25/20, 13346.77, 13346.96, 13235.82, 13289.80
11/24/20, 13254.42, 13296.76, 13192.32, 13292.44
11/23/20, 13215.44, 13312.42, 13126.97, 13126.97
11/20/20, 13054.64, 13172.91, 13054.64, 13137.25
11/19/20, 13101.71, 13138.14, 13034.51, 13086.16
11/18/20, 13086.43, 13213.63, 13074.67, 13201.89
11/17/20, 13130.54, 13151.02, 13050.41, 13133.47
11/16/20, 13170.52, 13277.45, 13081.11, 13138.61
11/13/20, 13036.97, 13145.48, 13004.82, 13076.72
11/12/20, 13073.48, 13168.09, 13022.28, 13052.95
11/11/20, 13205.95, 13244.32, 13138.76, 13216.18
11/10/20, 13109.77, 13237.59, 13018.43, 13163.11
11/09/20, 12713.19, 13297.05, 12670.58, 13095.97
